User_Name;Repo_Name;Commits_On_Main;Open_Issues;Closed_Issues;Contributors;Total_Lines;Most_Used_Language;Max_Lang_Lines
freeCodeCamp;freeCodeCamp;30008;148;15698;4403;1901826;JavaScript;899337
996icu;996.ICU;3189;16718;1922;641;0;None;0
EbookFoundation;free-programming-books;7021;33;670;1933;0;None;0
jwasham;coding-interview-university;1890;47;288;235;0;None;0
vuejs;vue;3226;563;9362;404;2926351;JavaScript;2858422
kamranahmedse;developer-roadmap;1058;118;485;129;141136;TypeScript;131868
sindresorhus;awesome;1030;37;280;518;0;None;0
facebook;react;14798;976;10456;1543;6134554;JavaScript;5863136
public-apis;public-apis;4478;7;358;1263;41831;Python;40479
tensorflow;tensorflow;126118;2685;31840;3078;182269273;C++;113294961
donnemartin;system-design-primer;323;290;63;112;58449;Python;57260
twbs;bootstrap;21523;427;20792;1285;1983846;JavaScript;828804
getify;You-Dont-Know-JS;1783;133;806;176;0;None;0
CyC2018;CS-Notes;3776;155;436;231;0;None;0
ohmyzsh;ohmyzsh;6560;578;3923;2027;1671980;Shell;1643709
flutter;flutter;27816;10482;55375;984;47090081;Dart;46648533
trekhleb;javascript-algorithms;1030;233;185;192;688054;JavaScript;687984
github;gitignore;3520;220;3708;1252;0;None;0
TheAlgorithms;Python;2392;250;912;796;2238209;Python;2238209
danistefanovic;build-your-own-x;416;211;326;72;0;None;0
microsoft;vscode;93987;5802;3;1597;42209725;TypeScript;39496139
torvalds;linux;1074149;320;444;5000;1010494838;C;992154603
airbnb;javascript;1915;137;3;481;78042;JavaScript;78042
Snailclimb;JavaGuide;3917;67;682;294;6308;Java;6308
jackfrued;Python-100-Days;365;626;93;12;558902;Python;233081
vinta;awesome-python;1624;238;275;393;3196;Python;2959
ytdl-org;youtube-dl;18562;4901;20748;768;5832604;Python;5812645
ossu;computer-science;915;11;551;121;0;None;0
jlevy;the-art-of-command-line;1191;206;88;162;0;None;0
facebook;react-native;24249;2172;20572;2296;19449402;JavaScript;8948220
labuladong;fucking-algorithm;295;62;3;97;945466;Markdown;945466
d3;d3;4322;4;2098;122;2162;JavaScript;2162
electron;electron;26042;1605;15074;1108;5966652;C++;3377465
golang;go;51467;7645;41453;1776;49369165;Go;43951081
facebook;create-react-app;2753;1510;3;877;3099055;JavaScript;3047090
axios;axios;1086;324;3269;319;244244;JavaScript;228751
30-seconds;30-seconds-of-code;5440;6;277;264;94;JavaScript;94
justjavac;free-programming-books-zh_CN;911;28;404;114;0;None;0
nodejs;node;35772;1650;12947;3093;18827367;JavaScript;11532366
kubernetes;kubernetes;106813;2207;38741;3180;62003632;Go;59918548
microsoft;terminal;2869;1456;3;313;17627791;C++;16675667
denoland;deno;7051;799;4865;675;4930960;Rust;3111654
vercel;next.js;10748;1109;11191;2058;11088672;JavaScript;8451796
angular;angular;24007;1635;22123;1550;26211443;TypeScript;22252885
mrdoob;three.js;39848;474;10636;1599;13704614;JavaScript;7456985
microsoft;TypeScript;33085;5445;27825;639;114752237;TypeScript;114741918
ant-design;ant-design;21633;797;22442;1580;3012062;TypeScript;1323995
puppeteer;puppeteer;2465;1814;3434;405;1705078;TypeScript;1241240
mui-org;material-ui;19147;1020;14191;2453;6293549;JavaScript;3780125
animate-css;animate.css;656;29;795;123;45779;CSS;31024
PanJiaChen;vue-element-admin;1017;1142;3;123;503860;Vue;350124
goldbergyoni;nodebestpractices;3588;36;262;211;14610;JavaScript;8812
avelino;awesome-go;4075;14;3;1559;13909;Go;13909
tensorflow;models;7799;1303;5667;755;23166178;Python;21231744
iluwatar;java-design-patterns;3202;267;474;272;3701092;Java;3666758
awesome-selfhosted;awesome-selfhosted;4863;157;557;999;13027;JavaScript;7426
MisterBooo;LeetCodeAnimation;246;12;42;15;568220;Java;565397
laravel;laravel;6689;31;4175;600;103196;PHP;83315
storybookjs;storybook;38710;1710;7160;1459;4463019;TypeScript;4003198
FortAwesome;Font-Awesome;3;5758;3;2;4640922;JavaScript;3333655
nvbn;thefuck;1624;250;434;175;539179;Python;538509
microsoft;PowerToys;5750;2317;11038;267;5640348;C#;2939972
vuejs;awesome-vue;4748;29;179;2055;0;None;0
gothinkster;realworld;648;63;439;74;483;Shell;483
yangshun;tech-interview-handbook;505;8;38;109;130729;JavaScript;88209
moby;moby;43615;4239;17337;2155;9322899;Go;9023024
rust-lang;rust;164057;8345;34902;3662;53486080;Rust;52309182
django;django;30544;160;15279;2190;16208993;Python;15743804
tonsky;FiraCode;543;305;868;104;48737;Clojure;24327
ryanmcdermott;clean-code-javascript;540;54;78;109;58340;JavaScript;58340
bitcoin;bitcoin;32839;1031;6152;855;14242328;C++;9559640
practical-tutorials;project-based-learning;562;17;38;95;0;None;0
webpack;webpack;15004;285;8701;714;4929291;JavaScript;4909318
angular;angular.js;9069;469;8646;1703;6937859;JavaScript;6811028
doocs;advanced-java;616;3;122;31;6748;Java;6564
Genymobile;scrcpy;1762;939;1851;95;850982;C;627645
spring-projects;spring-boot;36563;579;24146;886;21147428;Java;20537147
opencv;opencv;31642;2075;3;1364;40322152;C++;34454845
typicode;json-server;848;609;445;70;85474;JavaScript;81947
apple;swift;132748;516;41040;932;92814840;C++;46090855
hakimel;reveal.js;2875;690;1490;291;480735;JavaScript;278820
elastic;elasticsearch;63257;3807;25951;1720;123533104;Java;123148305
pallets;flask;4562;14;3;646;513171;Python;512687
thedaviddias;Front-End-Checklist;694;4;129;110;0;None;0
reduxjs;redux;3483;54;1898;894;175688;TypeScript;133484
netdata;netdata;13478;280;6360;502;19866578;C;14797040
atom;atom;38489;813;16080;489;5117782;JavaScript;4517641
gohugoio;hugo;6884;701;5208;730;4351005;Go;4305401
huggingface;transformers;9126;451;8444;1116;24291000;Python;24182248
trimstray;the-book-of-secret-knowledge;1066;8;190;101;0;None;0
jquery;jquery;6561;82;2093;277;1284890;JavaScript;1202365
chartjs;Chart.js;4168;137;6213;406;1245348;JavaScript;1223976
expressjs;express;5688;155;3562;280;477782;JavaScript;477385
xingshaocheng;architect-awesome;305;61;19;37;0;None;0
socketio;socket.io;1907;113;3065;206;184791;TypeScript;184709
kdn251;interviews;445;104;18;30;674404;Java;674404
macrozheng;mall;770;25;396;8;2734827;Java;2732137
gin-gonic;gin;1546;492;1386;350;494088;Go;492027
nvm-sh;nvm;2063;344;1432;312;402609;Shell;393519
sveltejs;svelte;6657;692;3669;483;1295922;TypeScript;754012
tailwindlabs;tailwindcss;4547;25;2163;220;983775;JavaScript;774647
papers-we-love;papers-we-love;832;27;123;251;1257;Shell;1257
kelseyhightower;nocode;4;4148;546;8;13;Dockerfile;13
coder;code-server;3216;246;2545;164;347739;TypeScript;271949
resume;resume.github.com;263;49;56;52;42014;JavaScript;19277
rails;rails;83180;608;15053;4475;15588581;Ruby;14829313
neovim;neovim;20684;1526;6551;761;28331251;Vim script;12398685
apache;echarts;8534;2048;13273;155;4487679;TypeScript;4022714
mtdvio;every-programmer-should-know;249;36;17;70;0;None;0
scikit-learn;scikit-learn;27980;2439;3;2253;10992578;Python;9969951
home-assistant;core;46934;1677;25989;2820;44310437;Python;44302275
Hack-with-Github;Awesome-Hacking;113;24;74;21;0;None;0
awesomedata;awesome-public-datasets;745;112;46;157;0;None;0
jaywcjlove;awesome-mac;1668;125;233;399;9824;JavaScript;9824
florinpop17;app-ideas;532;284;31;68;0;None;0
enaqx;awesome-react;1931;123;68;604;0;None;0
necolas;normalize.css;360;72;447;45;6138;CSS;6138
moment;moment;3961;193;3800;590;10423308;JavaScript;10392947
grafana;grafana;33867;2292;21377;1656;24303118;TypeScript;14328473
ionic-team;ionic-framework;11415;655;3;423;5193713;TypeScript;2258679
azl397985856;leetcode;1595;13;3;71;16764;JavaScript;14224
ReactiveX;RxJava;5966;10;3069;283;16340649;Java;16324626
spring-projects;spring-framework;23771;1273;20595;614;41665201;Java;41032659
remix-run;react-router;5232;64;6251;717;280333;TypeScript;253298
sdmg15;Best-websites-a-programmer-should-visit;1065;625;56;247;0;None;0
godotengine;godot;41841;7267;26391;1599;41749825;C++;37580858
google;material-design-icons;157;218;880;26;0;None;0
jekyll;jekyll;11461;175;4434;982;1001508;Ruby;706933
iptv-org;iptv;19205;330;1828;153;49914;JavaScript;49914
NARKOZ;hacker-scripts;148;67;37;50;62763;JavaScript;10236
tesseract-ocr;tesseract;5950;357;1934;143;7878732;C++;7568988
google;guava;5761;737;2688;271;25850066;Java;25836681
nestjs;nest;10244;101;3988;296;2011218;TypeScript;2008396
TheAlgorithms;Java;1567;24;602;345;1078460;Java;1078460
meteor;meteor;31972;119;8587;649;8278106;JavaScript;7640809
apache;superset;11115;1077;6911;739;17945266;TypeScript;6195633
soimort;you-get;2421;386;869;209;565567;Python;562113
ageitgey;face_recognition;219;680;557;45;44111;Python;34987
scrapy;scrapy;9112;772;2090;446;1914622;Python;1909563
kon9chunkit;GitHub-Chinese-Top-Charts;210;82;144;8;125;Java;125
python;cpython;112530;1585;30068;1788;50275143;Python;32368507
strapi;strapi;20440;624;5650;731;6483128;JavaScript;6464033
wasabeef;awesome-android-ui;457;14;91;71;0;None;0
minimaxir;big-list-of-naughty-strings;273;86;29;72;3618;Python;1808
aymericdamien;TensorFlow-Examples;250;213;68;66;9787447;Jupyter Notebook;9651010
prettier;prettier;6624;1029;4566;573;2946964;JavaScript;2448127
square;okhttp;5056;128;3456;250;3545159;Kotlin;2663597
juliangarnier;anime;736;183;481;52;125954;JavaScript;125954
junegunn;fzf;2090;280;1852;196;590547;Go;410474
git;git;66016;93;955;1522;19799311;C;9873599
yarnpkg;yarn;2351;1964;3;521;1627294;JavaScript;1605879
prometheus;prometheus;9790;623;4032;672;4544009;Go;3960980
babel;babel;15095;787;7419;1008;3867906;TypeScript;2050168
ziishaned;learn-regex;327;59;33;99;0;None;0
deepfakes;faceswap;1411;24;710;79;2601623;Python;2572010
android;architecture-samples;706;194;284;51;220915;Kotlin;220915
lydiahallie;javascript-questions;1223;76;128;172;0;None;0
3b1b;manim;4442;324;625;136;746385;Python;703081
tiangolo;fastapi;1978;1429;1779;295;1915351;Python;1913130
JetBrains;kotlin;91560;133;4596;535;80463237;Kotlin;63222403
microsoft;Web-Dev-For-Beginners;1256;10;173;130;103125;JavaScript;80966
astaxie;build-web-application-with-golang;5176;111;181;382;422209;Go;372564
TryGhost;Ghost;15626;55;6251;391;5607298;JavaScript;5277634
square;retrofit;1943;162;2423;164;1214440;Java;1171099
mermaid-js;mermaid;4388;603;1111;300;1812577;JavaScript;1240463
v2ray;v2ray-core;5387;26;3;90;1518600;Go;1480524
vsouza;awesome-ios;6218;20;444;847;44;Swift;44
prakhar1989;awesome-courses;539;54;34;128;0;None;0
Dogfalo;materialize;3878;806;4582;261;641399;JavaScript;460979
nwjs;nw.js;4632;887;6130;104;3599086;JavaScript;1542304
Solido;awesome-flutter;1760;38;817;304;92616;Dart;92616
etcd-io;etcd;17708;178;5552;689;5458229;Go;5204191
k88hudson;git-flight-rules;433;14;52;117;0;None;0
gogs;gogs;5604;794;4058;472;1467651;Go;1330787
x64dbg;x64dbg;4824;500;1618;92;5167801;C++;4016943
localstack;localstack;2960;365;2989;417;4345963;Python;4283775
JuliaLang;julia;51474;4138;17759;1244;16476187;Julia;11234012
vercel;hyper;3032;762;2718;267;296928;TypeScript;285175
facebook;jest;6018;1590;5272;1317;3725805;TypeScript;2809645
iamkun;dayjs;1376;441;654;279;547540;JavaScript;547540
bailicangdu;vue2-elm;508;92;482;13;490973;Vue;430706
karan;Projects;182;77;32;16;0;None;0
DefinitelyTyped;DefinitelyTyped;79661;775;7099;5000;39666726;TypeScript;39645760
mozilla;pdf.js;15403;347;7767;356;4656932;JavaScript;4541014
Alamofire;Alamofire;1537;32;2577;234;1520811;Swift;1520057
justjavac;awesome-wechat-weapp;584;2;285;182;0;None;0
binhnguyennus;awesome-scalability;1115;11;54;16;0;None;0
apache;dubbo;5366;399;4671;382;11850568;Java;11795164
FreeCodeCampChina;freecodecamp.cn;8845;152;444;314;4377697;CSS;3311694
impress;impress.js;399;63;400;80;420342;JavaScript;371250
tldr-pages;tldr;9904;196;728;1703;3641911;Markdown;3610513
alacritty;alacritty;1960;310;3802;360;972634;Rust;937942
Unitech;pm2;4970;565;3943;265;897533;JavaScript;727571
traefik;traefik;4275;617;4251;663;3539010;Go;3253762
algorithm-visualizer;algorithm-visualizer;664;36;65;23;110131;JavaScript;92387
caddyserver;caddy;1250;97;2790;132;1510890;Go;1493165
danielmiessler;SecLists;1297;26;156;200;133140;PHP;53627
fighting41love;funNLP;124;21;29;8;365;Python;365
styled-components;styled-components;3302;77;2439;295;425264;TypeScript;358639
cypress-io;cypress;16323;2127;7482;332;12673815;JavaScript;8940147
MunGell;awesome-for-beginners;431;65;3;267;0;None;0
vitejs;vite;3703;909;2778;495;1067311;TypeScript;803283
fffaraz;awesome-cpp;1484;395;164;322;0;None;0
anuraghazra;github-readme-stats;502;256;555;190;167002;JavaScript;166493
pixijs;pixijs;5905;108;4643;384;2683770;TypeScript;2551588
dcloudio;uni-app;9511;920;2078;190;4153143;JavaScript;3237446
chinese-poetry;chinese-poetry;541;75;79;47;33811;JavaScript;31293
nodejs;node-v0.x-archive;2;571;5845;2;0;None;0
GitSquared;edex-ui;1428;6;553;60;469044;JavaScript;411622
discourse;discourse;44471;43;15629;805;21588930;Ruby;12988733
hoppscotch;hoppscotch;4121;53;679;180;1252974;Vue;632662
PhilJay;MPAndroidChart;2070;2048;2843;69;1317015;Java;1317015
obsproject;obs-studio;10532;652;1492;481;10302398;C;5651730
ethereum;go-ethereum;13169;336;6021;716;13259487;Go;11883548
pi-hole;pi-hole;5035;33;2440;203;464941;Shell;358928
bradtraversy;design-resources-for-developers;1853;1;68;330;0;None;0
hexojs;hexo;3516;79;3695;160;750624;JavaScript;750566
adobe;brackets;17847;2791;3;372;15791861;JavaScript;13258040
Avik-Jain;100-Days-Of-ML-Code;109;60;17;7;0;None;0
ocornut;imgui;6841;713;3240;280;3308863;C++;2904862
tiimgreen;github-cheat-sheet;505;17;41;83;0;None;0
slatedocs;slate;675;36;546;126;70439;SCSS;30771
fastlane;fastlane;16282;186;3;1208;7390469;Ruby;6063800
AFNetworking;AFNetworking;2943;84;3059;318;711746;Objective-C;688555
vuetifyjs;vuetify;11680;1039;3;706;3502595;TypeScript;1899876
shadowsocks;shadowsocks;1;448;142;8;173709;Python;157279
FiloSottile;mkcert;152;110;202;37;43665;Go;43665
0voice;interview_internal_reference;339;29;18;27;1228;Python;1228
alvarotrigo;fullPage.js;1906;212;3627;137;393900;JavaScript;367300
swisskyrepo;PayloadsAllTheThings;1352;19;389;181;235687;Python;203302
php;php-src;127786;329;166;855;108899225;C;80719373
dypsilon;frontend-dev-bookmarks;390;114;79;103;0;None;0
grpc;grpc;50563;1058;9240;708;27153626;C++;15322355
huginn;huginn;3428;604;1400;211;1655407;Ruby;1467474
isocpp;CppCoreGuidelines;2012;197;778;294;14727;Python;9035
Leaflet;Leaflet;7146;512;4329;716;937965;JavaScript;786176
sahat;hackathon-starter;2541;54;583;183;176018;JavaScript;94775
videojs;video.js;3798;411;4304;412;1513478;JavaScript;1463101
gulpjs;gulp;1197;29;1836;248;17347;JavaScript;17347
kamranahmedse;design-patterns-for-humans;134;15;44;43;0;None;0
apachecn;AiLearning;207;2;100;41;958219;Python;894998
yangshun;front-end-interview-handbook;557;16;61;143;49061;JavaScript;41985
airbnb;lottie-android;1412;16;1386;115;1079229;Java;747625
shadowsocks;shadowsocks-android;3630;30;2343;41;556133;Kotlin;534526
BVLC;caffe;4156;1179;3882;269;3678623;C++;2945020
CorentinJ;Real-Time-Voice-Cloning;294;36;3;17;252952;Python;252952
koajs;koa;1150;62;826;224;173014;JavaScript;173014
pandas-dev;pandas;29119;3395;18838;2537;20046082;Python;18088669
bumptech;glide;2636;337;3751;133;3135204;Java;3119540
